site,Plot ID,Plot ID_input,Plant ID,Plant No. in plot,Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",PIT1,PIT2,PIT3,Planting Date,T1 Date,T2Date,T3Date,T1 (DAP),T2(DAP),T3(DAP)
1,37,,P2,,2,5.6,0.9,3,3.7,1,4,3.7,0.8,2.441148682,3.299650121,4.255989642,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,37,,P3,,2,6.4,0.9,3,4,1.2,4,4.1,0.7,2.479190061,3.390377281,4.279859082,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,38,38,P1,,3,3.9,1.9,4,5.2,1.7,5,6.5,2.4,3.618372695,4.655051876,5.959027778,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,38,,P2,,3,3.1,1.2,4,4.2,1.4,5,4.9,1.6,3.226652394,4.472226461,5.601255797,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,38,,P3,,3,3.2,1.4,4,3.9,1.2,5,4.5,1.3,3.298616761,4.37728243,5.473367519,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,39,39,P1,,2,5.2,0.8,3,3.9,1.6,4,6,1.8,2.391263512,3.499101386,4.727149927,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,39,,P2,,2,5.4,1,3,3,1,3,8.4,2.3,2.456658384,3.165956233,3.935628692,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,39,,P3,,2,7,1.4,3,4.7,1.5,4,5.3,2.4,2.639738513,3.552730246,4.948472567,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,40,40,P1,,3,3.3,0.8,3,3.5,1.2,4,4,1.3,3.195920114,3.314330362,4.418178702,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,40,,P2,,2,7,1.7,3,5.5,1.8,4,5,0.9,2.727501298,3.705894887,4.404214961,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,40,,P3,,2,7.7,2.1,3,6.8,2.1,4,6.5,1.5,2.865807996,3.851612278,4.651631515,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,41,41,P1,,,,,,,,,,,,,,,,4/14/2016,,,,
1,41,,P2,,,,,,,,,,,,,,,,4/14/2016,,,,
1,41,,P3,,,,,,,,,,,,,,,,4/14/2016,,,,
1,42,42,P1,,2,6.1,0.6,2,12.5,2.3,3,8.5,2.4,2.384628736,2.950743946,3.967719376,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,42,,P2,,3,3.2,1,4,3,1.2,5,3.5,0.6,3.212233939,4.198977847,5.190788395,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,42,,P3,,2,8.4,2.1,3,7.6,1.4,4,6,2.2,2.874230617,3.657252044,4.872587359,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,43,43,P1,,2,8.8,1,3,2.7,0.6,3,8.9,1.4,2.578668809,3.051168272,3.686513265,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,43,,P2,,1,3.9,1.9,2,6.7,1.1,3,3.3,0.7,1.618372695,2.545615587,3.179048239,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,43,,P3,,2,4.3,1,2,13.3,2.3,3,7.6,1.9,2.371807696,2.952485184,3.802035662,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,44,44,P1,,3,2.5,0.5,4,2.7,0.4,4,7.9,1.5,3,4.040303393,4.692532595,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,44,,P2,,3,5.1,1.7,4,4.6,1.8,5,3.1,0.6,3.648954882,4.64988309,5.130987545,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,44,,P3,,2,7.9,2.1,3,2.9,2,4,6.7,1.6,2.86840513,3.399447154,4.688369605,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,45,45,P1,,3,5.5,1.8,3,5.5,2,4,6.3,1.9,3.705894887,3.779415431,4.771053792,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,45,,P2,,2,5,2,3,6.4,2.1,4,7.1,1.9,2.756470797,3.843539533,4.791815861,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,45,,P3,,2,7.6,2,3,6.5,2,5,3,0.6,2.832851406,3.810679502,5.113282753,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,46,46,P1,,2,5.9,1.7,3,6.4,2,4,5.3,1.8,2.690062677,3.808155959,4.695807079,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,46,,P2,,3,3,0.3,3,8.2,0.6,4,7.4,0.7,3.079181246,3.454249213,4.460185736,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,46,,P3,,2,8.3,2,3,7.8,2.3,4,9.5,2.3,2.843199884,3.931722395,4.941213602,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,47,47,P1,,1,2.9,0.9,2,3.4,0.9,2,9.3,1.8,1.12684698,2.231341798,2.799964366,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,47,,P2,,1,4,0.7,2,4.4,0.7,2,11.5,0.8,1.26965686,2.307523319,2.572523614,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,47,,P3,,2,5.8,1.9,2,6.7,1.7,3,5.2,1,2.754089736,2.718798171,3.44422046,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,48,48,P1,,2,3.5,0.5,2,9.4,2.4,3,6.6,0.3,2.172912525,2.970099055,3.314061981,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
