"","plot","HNO","DWTOTALLEAF","DWMSL","DWLBR","DWTOTALSTEM","DWAP","DWGP","DWMP","DWPOD","WHOLE","geno","DAP","site"
"243","129",11,2.19,NA,2.19,74.41,4.42,NA,NA,36.128,112.728,"RIJC234",111,1
"244","129",3,1.6709,1.595,0.0759,0.3839,NA,NA,NA,0,2.0548,"RIJC234",28,1
"245","129",7,39.609,4.489,35.12,18.05,NA,NA,NA,0.916,58.575,"RIJC234",56,1
"246","129",4,2.682,2.541,0.141,0.829,NA,NA,NA,0,3.511,"RIJC234",35,1
"247","129",10,14.1,NA,14.1,20.25,0.121,NA,NA,1.233,35.583,"RIJC234",77,1
"248","13",3,2.141,1.359,0.782,0.643,NA,NA,NA,0,2.784,"RIJC220",27,1
"249","13",5,13.391,2.652,10.739,7.883,NA,NA,NA,0,21.274,"RIJC220",41,1
"250","13",7,26.123,3.453,22.67,22.09,NA,NA,NA,3.883,52.096,"RIJC220",55,1
"251","13",9,20.21,NA,20.21,31.47,0.1,NA,NA,29.97,81.65,"RIJC220",69,1
"252","13",10,11.68,NA,11.68,20.85,NA,NA,36.34,36.34,68.87,"RIJC220",76,1
"253","13",11,0.189,NA,0.189,27.211,5.05,NA,NA,52.14,79.54,"RIJC220",104,1
"254","13",1,0,NA,NA,0.0199,NA,NA,NA,0,0.0199,"RIJC220",13,1
"255","13",6,17.187,2.777,14.41,14.37,NA,0.41,NA,0.41,31.967,"RIJC220",48,1
"256","13",2,0.6378,0.624,0.0138,0.1553,NA,NA,NA,0,0.7931,"RIJC220",20,1
"257","13",8,23.02,2.563,20.457,18.82,NA,NA,NA,22.278,64.118,"RIJC220",62,1
"258","130",11,0,NA,NA,23.1,6.668,NA,4.406,11.074,34.174,"RIJC364",112,1
"259","130",8,7.36,2.09,5.27,6.91,NA,NA,NA,1.346,15.616,"RIJC364",63,1
"260","130",10,11.5,NA,11.5,17.91,0.702,NA,NA,13.372,42.782,"RIJC364",77,1
"261","131",1,0.1444,0.1444,NA,0.0297,NA,NA,NA,0,0.1741,"RIJC027",14,1
