HNO,plot,DWTOTALLEAF,DWMSL,DWBL,TOTALSTEM,DWAP,DWGP,DWPOD,DWMP,WHOLE
4,54,,2.0168,1.3459,1.2536,,,,,
6,54,,4.106,11.43,10.03,,,,,
7,54,,3.42,11.81,13.4,,,2.007,,
8,54,,2.45,12.08,20.19,,,13.068,,
9,54,,,11.39,18.01,0.126,,11.402,,
11,55,,,10.924,68.44,4.836,,,25.579,
10,55,,,25.09,37.46,0.212,,7.301,,
6,55,,2.485,7.4,5.94,,,0.0058,,
7,55,,5.411,22.11,20.2,,,4.216,,
8,55,,1.92,21.21,22.84,,,2.45,,
9,55,,,34.65,37.2,0.211,,3.178,,
11,56,,,8.884,70.64,22.475,,,0,
1,56,,0.0742,*,0.0138,,,,,
10,56,,,8.088,41.199,0,,26.84,,
10,56,8.088,,,40.199,*,,26.84,,
2,56,,0.4601,,0.0708,,,,,
3,56,,1.706,0.11,0.418,,,,,
4,56,,3.47,8.04,8.72,,,,,
5,56,,4.3,2.992,3.049,,,,,
6,56,,11.239,16.54,16.03,,,0.092,,
7,56,,11.145,37.29,30.34,,,2.842,,
7,56,,5.282,13.84,15.57,,,3.376,,
8,56,,,,30.72,,,,,
8,56,,2.28,18.02,,,,19.828,,
9,56,,,13.86,26.12,0.278,,33.179,,
11,57,,,0.161,31.256,2.697,0,,20.533,
1,57,,0.1842,*,0.0415,,,,,
10,57,,,11.05,11.77,0,,,1.529,
2,57,,0.5878,0.0103,0.1493,,,,,
3,57,,1.634,0.461,0.71,,,,,
4,57,,2.692,2.679,2.585,,,,,
5,57,,2.705,9.739,8.624,,,,,
6,57,,3.628,19.542,18.971,,,0.254,,
7,57,,5.349,24.22,23.77,,,1.009,,
8,57,,3.326,18.47,25.54,,,4.399,,
9,57,,,17.86,37.48,0.38,,16.903,,
11,58,,,19.48,136.01,3.69,0.881,25.52,,
1,58,,0.0687,,0.0185,,,,,
10,58,,,18.33,39.24,0.4,,21.68,,
3,58,,1.36,0.058,0.285,,,,,
5,58,,3.667,6.912,5.229,,,,,
6,58,,2.938,6.98,6.02,,0.074,,,
7,58,,5.159,17.28,19,,,1.965,,
8,58,,3.57,21.59,25.924,,,3.663,,
11,59,,0,.,21.43,7.13,,0,11.11,
1,59,,0.1129,*,0.0191,,,,,
10,59,,,20.02,37.76,1.993,,55.65,,
2,59,,0.1675,,0.0181,,,,,
3,59,,0.88,0.02,0.166,,,,,
4,59,,,8.666,5.668,,,,,
5,59,,2.862,6.09,5.57,,,0.614,,
6,59,,6.432,7.01,10.75,,0.269,,,
6,59,,,,,,0.674,,,
7,59,,3.702,13.21,14.65,,,2.272,,
8,59,,3.428,15.02,22.52,,,5.383,,
