site,Plot ID,Plot ID_input,Plant ID,Plant No. in plot,Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",PIT1,PIT2,PIT3,Planting Date,T1 Date,T2Date,T3Date,T1 (DAP),T2(DAP),T3(DAP)
1,45,,P2,,2,5,2,3,6.4,2.1,4,7.1,1.9,2.75647,3.84354,4.79182,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,45,,P3,,2,7.6,2,3,6.5,2,5,3,0.6,2.83285,3.81068,5.11328,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,46,46,P1,,2,5.9,1.7,3,6.4,2,4,5.3,1.8,2.69006,3.80816,4.69581,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,46,,P2,,3,3,0.3,3,8.2,0.6,4,7.4,0.7,3.07918,3.45425,4.46019,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,46,,P3,,2,8.3,2,3,7.8,2.3,4,9.5,2.3,2.84320,3.93172,4.94121,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,47,47,P1,,1,2.9,0.9,2,3.4,0.9,2,9.3,1.8,1.12685,2.23134,2.79996,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,47,,P2,,1,4,0.7,2,4.4,0.7,2,11.5,0.8,1.26966,2.30752,2.57252,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,47,,P3,,2,5.8,1.9,2,6.7,1.7,3,5.2,1,2.75409,2.71880,3.44422,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,48,48,P1,,2,3.5,0.5,2,9.4,2.4,3,6.6,0.3,2.17291,2.97010,3.31406,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,48,,P2,,2,7.6,2.3,3,6.3,0.5,3,12.5,0.9,2.93024,3.36479,3.61170,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,48,,P3,,2,5.2,1.9,3,3.5,0.5,3,11,0.3,2.72742,3.17291,3.41134,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,49,49,P1,,2,6,1.7,3,6.3,2,4,6.2,1.8,2.69419,3.80552,4.73438,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,49,,P2,,2,7.5,2,3,8,2.3,4,7,2.4,2.83118,3.93311,4.96186,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,49,,P3,,2,5,1.6,3,5.6,1.2,4,4.7,1.5,2.60833,3.52353,4.55273,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,50,50,P1,,2,3.5,0.8,3,2.8,0.8,3,10.3,2.1,2.22798,3.09046,3.89036,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,50,,P2,,2,9.8,2,3,9.7,2.3,4,7.9,2.1,2.85959,3.94206,4.86841,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,50,,P3,,2,5.5,1.1,3,4.6,1.5,4,4.1,1.2,2.48990,3.54415,4.40263,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,51,51,P1,,2,6,2,4,3,1.5,5,3.2,0.9,2.79689,4.26303,5.19461,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,51,,P2,,2,5,1.7,3,7.2,2.1,4,8.2,2.4,2.64251,3.85850,4.96678,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,51,,P3,,2,6.4,1.3,3,5.7,1,4,4.1,1.2,2.58974,3.47354,4.40263,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,52,52,P1,,2,8,2,3,7.1,1.7,4,6.1,1.9,2.83904,3.73021,4.76472,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,52,,P2,,2,3.5,0.8,3,2.7,0.9,3,8.5,2.2,2.22798,3.07005,3.90542,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,52,,P3,,2,2.7,0.3,2,7.5,1.2,3,4.2,1.3,2.03503,2.59949,3.44238,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,53,53,P1,,2,4.9,1.3,3,4.8,1.4,4,5,1.2,2.50717,3.52942,4.48570,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,53,,P2,,2,7,2,4,2.6,0.4,4,8.8,2.4,2.82188,4.02095,4.96858,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,53,,P3,,2,5.7,2,4,3.1,0.5,4,8,0.6,2.78694,4.11790,4.44905,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,54,54,P1,,3,3,1.1,4,3.7,1.2,5,4.7,1.4,3.18172,4.34817,5.52124,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,54,,P2,,3,5.4,1.9,4,6.6,2.1,6,2.7,1.2,3.73727,4.84774,6.09490,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,54,,P3,,3,3,1,4,2.7,1,5,3,1.1,3.16596,4.07748,5.18172,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,55,55,P1,,2,6.8,1.6,3,5.4,1.4,4,2.7,0.9,2.69156,3.57048,4.07005,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
