"","site","geno","DAP","PI"
"324",2,"RIJC016",24,4.00689406216667
"325",1,"RIJC017",22.5,3.4375277785
"326",2,"RIJC017",24,3.78176366333333
"327",1,"RIJC018",22,3.44965127733333
"328",2,"RIJC018",24,4.43410877566667
"329",1,"RIJC019",23,2.687026156
"330",2,"RIJC019",24,2.94874143216667
"331",1,"RIJC020",22.5,5.14047443183333
"332",2,"RIJC020",24,6.546231208
"333",1,"RIJC021",22,3.05072146666667
"334",2,"RIJC021",24,4.8272621025
"335",1,"RIJC025",22.5,3.60126921766667
"336",2,"RIJC025",24,4.83094163633333
"337",1,"RIJC027",22,3.63740852533333
"338",2,"RIJC027",24,5.81006905483333
"339",1,"RIJC030",22.5,3.445038184
"340",2,"RIJC030",24,4.60574054016667
"341",1,"RIJC035",22.5,4.126346364
"342",2,"RIJC035",24,5.139939628
"343",1,"RIJC045",22,3.58845893116667
"344",2,"RIJC045",24,3.69926933466667
"345",1,"RIJC046",22,3.640156997
"346",2,"RIJC046",24,4.76440113916667
"347",1,"RIJC047",22,3.64811951833333
"348",2,"RIJC047",24,4.92282322083333
"349",1,"RIJC048",22,3.35433076616667
"350",2,"RIJC048",24,5.20306369383333
"351",1,"RIJC049",22,3.15263410633333
"352",2,"RIJC049",24,4.09554648316667
"353",1,"RIJC059",22.5,4.29055994166667
"354",2,"RIJC059",24,5.79831741716667
"355",1,"RIJC065",22,4.60837370516667
"356",2,"RIJC065",24,5.54082053766667
"357",1,"RIJC066",22,3.30579682366667
"358",2,"RIJC066",24,5.05855811183333
"359",1,"RIJC069",22,4.58175961683333
"360",2,"RIJC069",24,5.1148202645
"361",1,"RIJC070",22,3.40321976116667
"362",2,"RIJC070",24,3.9913102335
"363",1,"RIJC071",22,3.55259873233333
"364",2,"RIJC071",24,4.724303317
"365",1,"RIJC073",22,4.37077069633333
"366",2,"RIJC073",24,5.53635886366667
"367",1,"RIJC074",22.5,4.12129904
"368",2,"RIJC074",24,4.0971661594
"369",1,"RIJC076",22,2.974563902
"370",2,"RIJC076",24,4.17786315566667
"371",1,"RIJC078",22,3.05112956483333
"372",2,"RIJC078",24,5.39477041116667
"373",1,"RIJC079",22.5,3.782944327
"374",2,"RIJC079",24,4.07063921533333
"375",1,"RIJC080",22,3.29982144183333
"376",2,"RIJC080",24,5.58309938683333
"377",1,"RIJC081",23,3.11633231933333
"378",2,"RIJC081",24,4.5876620985
"379",1,"RIJC082",22,3.69550302833333
"380",2,"RIJC082",24,5.6745798065
"381",1,"RIJC136",22.5,3.82694342233333
"382",2,"RIJC136",24,4.36988091416667
"383",1,"RIJC138",22.5,3.73934453433333
"384",2,"RIJC138",24,4.30074022933333
"385",1,"RIJC139",22.5,3.663563158
"386",2,"RIJC139",24,5.3301688785
"387",1,"RIJC140",22,3.246634359
"388",2,"RIJC140",24,4.373459562
"389",1,"RIJC141",22,3.26281118983333
"390",2,"RIJC141",24,5.10689161916667
"391",1,"RIJC142",22,3.3815464735
"392",2,"RIJC142",24,4.57367859966667
"393",1,"RIJC144",22.5,3.46835524716667
"394",2,"RIJC144",24,4.34823341716667
"395",1,"RIJC145",22.5,3.74709622166667
"396",2,"RIJC145",24,5.18940925066667
"397",1,"RIJC146",22,3.37376867016667
"398",2,"RIJC146",24,4.6073550855
"399",1,"RIJC147",22.5,3.30990688633333
"400",2,"RIJC147",24,4.25470755966667
"401",1,"RIJC203",22.5,3.59111057183333
"402",2,"RIJC203",24,4.830274227
"403",1,"RIJC205",22,4.186753444
"404",2,"RIJC205",24,4.8476582302
"405",1,"RIJC206",22.5,3.62232398016667
"406",2,"RIJC206",24,4.796757968
"407",1,"RIJC208",22.5,3.71708091966667
"408",2,"RIJC208",24,4.760264211
"409",1,"RIJC212",22,4.12634615933333
"410",2,"RIJC212",24,4.8804143135
"411",1,"RIJC214",22,3.92912994816667
"412",2,"RIJC214",24,4.49139168116667
"413",1,"RIJC217",22.5,3.6294185095
"414",2,"RIJC217",24,4.43597692783333
"415",1,"RIJC220",22.5,5.10679960133333
"416",2,"RIJC220",24,6.457434888
"417",1,"RIJC223",22.5,4.07693168633333
"418",2,"RIJC223",24,5.21126751
"419",1,"RIJC224",22.5,4.6551709775
"420",2,"RIJC224",24,4.50009094116667
"421",1,"RIJC225",22,3.82157842183333
"422",2,"RIJC225",24,4.779966803
"423",1,"RIJC230",22.5,3.44085070966667
"424",2,"RIJC230",24,4.70678098966667
"425",1,"RIJC232",22.5,3.3038015805
"426",2,"RIJC232",24,4.55416699533333
"427",1,"RIJC233",22,3.5716823655
"428",2,"RIJC233",24,5.64868126316667
"429",1,"RIJC234",22,3.00859004933333
"430",2,"RIJC234",24,4.39902903883333
"431",1,"RIJC235",22.5,3.25130691766667
"432",2,"RIJC235",24,3.682021228
"433",1,"RIJC236",22,3.67356892266667
"434",2,"RIJC236",24,3.61264156083333
"435",1,"RIJC237",22.5,2.97869102333333
"436",2,"RIJC237",24,4.15691738983333
"437",1,"RIJC238",22.5,3.223891806
"438",2,"RIJC238",24,5.52799945866667
"439",1,"RIJC240",22,3.33489570666667
"440",2,"RIJC240",24,4.30976678566667
"441",1,"RIJC241",22.5,3.291449853
"442",2,"RIJC241",24,3.7521402585
"444",2,"RIJC242",24,4.0571164645
"445",1,"RIJC243",22.5,4.13342569616667
"446",2,"RIJC243",24,4.372286751
"447",1,"RIJC244",22.5,3.669487457
"448",2,"RIJC244",24,4.2805699205
"449",1,"RIJC247",22.5,3.23898405833333
"450",2,"RIJC247",24,3.81619722233333
"451",1,"RIJC248",22,4.018760456
"452",2,"RIJC248",24,5.20773614866667
"453",1,"RIJC250",22.5,3.40038549433333
"454",2,"RIJC250",24,4.6772776395
