HNO,plot,Code,cm^2,STDEV,Perimeter,Circ,,Round,Solidity,Lengths (cm) or Major,Minor,Angle,Length 2 cm
H1,391,PL1,14.781,,22.787,,,,,4.895,3.844,16.809,
H1,391,PL2,11.538,,16.247,,,,,4.419,3.324,176.217,
H1,391,V1,28.145,,31.763,,,,,6.719,5.333,144.153,
H1,391,V2,22.477,,24.71,,,,,6.431,4.45,119.923,
H1,391,V3,11.714,,18.763,,,,,4.068,3.666,111.272,
H1,391,Stem Area,3.468,,14.91,,,,,2.964,1.49,74.671,
H1,446,PL1,5.34,,14.775,,,,,3.569,1.905,40.911,
H1,446,PL2,6.56,,13.827,,,,,3.855,2.167,76.283,
H1,446,V1,28.318,,31.176,,,,,7.243,4.978,50.394,
H1,446,V2,11.475,,24.288,,,,,4.195,3.483,97.28,
H1,446,Stem,2.834,,17.049,,,,,3.617,0.998,81.124,
H2,D73,PL1,29.582,,24.842,,,,,7.096,5.308,171.235,
H2,D73,PL2,28.047,,23.717,,,,,7.05,5.066,0.814,
H2,D73,V1,79.56,,62.161,,,,,13.116,7.723,125.798,
H2,D73,V2,108.113,,79.629,,,,,12.663,10.87,102.192,
H2,D73,V3,141.604,,100.716,,,,,15.057,11.974,25.612,
H2,D73,V4,184.6,,94.135,,,,,16.927,13.885,4.27,
H2,D73,V5,134.989,,98.112,,,,,14.122,12.171,163.468,
H2,D73,V6,7.427,,23.181,,,,,3.346,2.827,135.478,
H2,D73,STEM,46.516,,95.11,,,,,14.451,4.098,92.53,
H2,D73,B1,82.059,,75.301,,,,,10.886,9.597,101.119,
H2,D73,B2,57.848,,47.471,,,,,8.735,8.432,25.598,
H2,D73,B3,15.574,,38.469,,,,,4.913,4.036,82.4,
H2,D73,B4,62.258,,58.127,,,,,11.086,7.15,6.178,
H2,D73,B5,11.597,,28.123,,,,,4.759,3.103,18.92,
H2,D73,B6,29.754,,45.225,,,,,7.157,5.293,54.285,
H2,D73,B7,88.466,,79.772,,,,,11.975,9.406,85.408,
H2,446,PL1,11.851,,25.51,,,,,5.6,2.695,146.713,
H2,446,PL2,18.282,,18.301,,,,,4.984,4.67,3.708,
H2,446,V1,57.099,,48.464,,,,,9.169,7.929,138.285,
H2,446,V2,84.491,,50.972,,,,,11.453,9.393,144.821,
H2,446,V3,150.556,,76.62,,,,,14.008,13.684,37.049,
H2,446,V4,187.429,,112.329,,,,,15.565,15.332,163.974,
H2,446,V5,75.577,,58.738,,,,,10.06,9.565,42.791,
H2,446,V6,10.288,,23.679,,,,,4.797,2.731,20.635,
H2,446,Stem,22.776,,77.211,,,,,8.618,3.365,92.784,
H2,446,B1,88.71,,73.583,,,,,11.133,10.145,76.599,
H2,446,B2,1.707,,8.754,,,,,1.802,1.206,55.316,
H2,446,B3,24.563,,43.847,,,,,6.453,4.846,44.495,
H2,446,B4,7.636,,30.167,,,,,3.571,2.722,114.416,
H4,446,V1,78.341,,74.362,,,,,12.284,8.12,73.509,
H4,446,V2,76.965,,75.882,,,,,10.743,9.122,67.424,
H4,446,V3,189.658,,107.693,,,,,16.844,14.337,47.332,
H4,446,V4,197.906,,104.107,,,,,19.143,13.163,40.351,
H4,446,V5,146.455,,75.562,,,,,14.979,12.449,26.924,
H4,446,V6,138.254,,85.24,,,,,15.879,11.086,50.379,
H4,446,V7,154.339,,100.051,,,,,14.693,13.374,85.098,
H4,446,V8,140.886,,79.943,,,,,14.145,12.682,156.738,
H4,446,V9,124.806,,61.468,,,,,13.122,12.11,54.243,
H4,446,V10,71.361,,68.286,,,,,12.494,7.272,135.786,
H4,446,V11,30.055,,46.404,,,,,6.427,5.954,18.657,
H4,446,V12,4.593,,19.635,,,,,3.574,1.636,26.756,
H4,446,B1,153.749,,14.253,,,,,13.734,158.216,46.809,
H4,446,B2,100.134,,55.615,,,,,17.217,7.405,25.152,
H4,446,B3,69.661,,66.899,,,,,10.123,8.762,12.123,
H4,446,B4,201.777,,111.838,,,,,20.976,12.248,32.736,
H4,446,B5,86.645,,67.592,,,,,11.373,9.7,84.752,
